Mix_ID,Cement,GGBS,FlyAsh,Water,Admixture,CoarseAggregate,Sand,age,Strength
1,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076
2,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005
4,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992
5,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.296075096
6,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436
7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
8,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.447769788
9,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856
10,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986
11,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243672
12,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.021683592
13,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026
14,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164
15,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.813781648
16,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.908319812
17,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047984
18,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252
19,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.563252032
20,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416
21,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.836714204
22,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958
23,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06342182
24,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.207822168
25,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.516697444
26,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.300631656
27,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506
28,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856
29,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.427515184
30,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
31,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.260122448
32,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.908319812
33,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.719503284
34,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.131120456
35,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69225402399999
36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.407950056
37,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.079769452
38,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.721921436
39,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.229026048
40,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.251958604
41,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.45930106
42,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404
43,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,38.995383608
44,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.104130996
45,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.542997428
46,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.076402024
47,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.049192652
48,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.759063216
